file,rank,slope_rank,random_forest,gini,info_gain,chi2
madelon.csv,slope_rank,20.0,5.0,5.0,4.0,4.0
madelon.csv,random_forest,5.0,20.0,16.0,6.0,13.0
madelon.csv,gini,5.0,16.0,20.0,6.0,12.0
madelon.csv,info_gain,4.0,6.0,6.0,20.0,5.0
madelon.csv,chi2,4.0,13.0,12.0,5.0,20.0
sceneCsvBeach.csv,slope_rank,20.0,13.0,5.0,7.0,7.0
sceneCsvBeach.csv,random_forest,13.0,20.0,5.0,6.0,8.0
sceneCsvBeach.csv,gini,5.0,5.0,20.0,2.0,1.0
sceneCsvBeach.csv,info_gain,7.0,6.0,2.0,20.0,13.0
sceneCsvBeach.csv,chi2,7.0,8.0,1.0,13.0,20.0
semeion.csv,slope_rank,20.0,11.0,4.0,13.0,15.0
semeion.csv,random_forest,11.0,20.0,7.0,16.0,14.0
semeion.csv,gini,4.0,7.0,20.0,5.0,5.0
semeion.csv,info_gain,13.0,16.0,5.0,20.0,17.0
semeion.csv,chi2,15.0,14.0,5.0,17.0,20.0
sonar.csv,slope_rank,20.0,11.0,7.0,8.0,8.0
sonar.csv,random_forest,11.0,20.0,9.0,10.0,14.0
sonar.csv,gini,7.0,9.0,20.0,5.0,7.0
sonar.csv,info_gain,8.0,10.0,5.0,20.0,11.0
sonar.csv,chi2,8.0,14.0,7.0,11.0,20.0
spam.csv,slope_rank,20.0,11.0,9.0,8.0,10.0
spam.csv,random_forest,11.0,20.0,17.0,17.0,17.0
spam.csv,gini,9.0,17.0,20.0,15.0,15.0
spam.csv,info_gain,8.0,17.0,15.0,20.0,16.0
spam.csv,chi2,10.0,17.0,15.0,16.0,20.0
urbanLandCover.csv,slope_rank,20.0,5.0,2.0,3.0,0.0
urbanLandCover.csv,random_forest,5.0,20.0,5.0,13.0,11.0
urbanLandCover.csv,gini,2.0,5.0,20.0,5.0,3.0
urbanLandCover.csv,info_gain,3.0,13.0,5.0,20.0,17.0
urbanLandCover.csv,chi2,0.0,11.0,3.0,17.0,20.0
